Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,"beginning subscription period may 2 , 2006 subscription b option right eur 10.22 per .",134,86,0.3582089552238806
The transaction is expected to be finalized by Dec 2009 .,neutral,transaction expected finalized dec 2009 .,57,41,0.2807017543859649
"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing .",neutral,"tip week panfish like bluegills great fun catch , especially children new fishing .",104,83,0.20192307692307693
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral,"poyry 's contract includes engineering management , civil detail engineering services , time scheduling procurement services .",138,126,0.08695652173913043
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,negative,i-grid shows $dia capped BUY_SIGNAL term range 123.40- 124.77;any rally beyond today's levels range leads meltdown.,139,115,0.17266187050359713
$FB watching for bounce tomorrow,positive,$fb watching bounce tomorrow,32,28,0.125
"Sales are expected to increase in the end of the year 2006 , however .",positive,"sales expected increase end year 2006 , however .",70,49,0.3
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive,"sales climbed 19.2 pct 1.002 bln eur , surpassing 953 mln eur consensus figure .",87,80,0.08045977011494253
Standard Life share price: Insurer buys advice firm Pearson Jones,positive,standard life price: insurer buys advice firm pearson jones,65,59,0.09230769230769231
The value of the contract is in total USD12m .,neutral,value contract total usd12m .,46,29,0.3695652173913043
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,positive,astrazeneca's lung cancer drug tagrisso gets fda approval,57,57,0.0
High winds also toppled three semi-trailers on I-15 north of Barstow .,neutral,high winds also toppled three semi-trailers i-15 north barstow .,70,64,0.08571428571428572
$FB gettin in the buy zone soon ;),positive,$fb gettin BUY_SIGNAL zone soon ;),34,34,0.0
$TZA is a rocket ship!!!,positive,$tza rocket ship!!!,24,19,0.20833333333333334
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,"highest growth would china , weakening demand would continue north america , upm said .",106,87,0.1792452830188679
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",neutral,"period-end cash cash equivalents totaled eur6 .5 , compared eur10 .5 previous year .",106,84,0.20754716981132076
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,terms conditions option scheme 2008 available company 's internet pages .,120,73,0.39166666666666666
$amzn breaking,positive,$amzn breaking,14,14,0.0
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increased 145.1 % eur 8.3 mn eur 3.4 mn .,69,58,0.15942028985507245
Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,neutral,SELL_SIGNAL POSITIVE_MOVE costly cell phone towers thinly populated areas balloons would ?,92,90,0.021739130434782608
Royal Mail share price rallies amid positive broker comments,positive,royal mail rallies amid positive broker comments,60,48,0.2
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",neutral,"unlisted british biologicals makes b - - proteins , disease-specific supplements cover diabetes , hepatitis , asthma cardiovascular ailments .",173,142,0.1791907514450867
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative,supreme court upholds $236 million jury award exxonmobil,64,56,0.125
The event can also be viewed as a live audio webcast at www.ahlstrom.com .,neutral,event also viewed live audio webcast .,74,38,0.4864864864864865
The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,negative,airline 's closed NEGATIVE_MOVE slightly ( x20ac ) 12.51 ( $ 15us .74 ) helsinki .,96,82,0.14583333333333334
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive,"financial impact estimated annual improvement eur2 .0 division 's results , fiscal year 2008 .",128,94,0.265625
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",neutral,"include software development internet mobile telephone content , communications , value-added software , financial services , security applications , systems integration electronics .",201,183,0.08955223880597014
The net sales decreased to EUR 49.8 million from EUR 59.9 million .,negative,net sales decreased eur 49.8 million eur 59.9 million .,67,55,0.1791044776119403
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,neutral,total value project valued sek 30bn ( eur 2.83 bn usd 3.81 bn ) .,82,65,0.2073170731707317
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"thus , sysopen digia , accordance chapter 14 section 21 finnish companies act 29.9.1978 - 734 , obtained title sentera redeemed .",184,129,0.29891304347826086
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",neutral,"addus ' services include personal care assistance activities daily living , skilled nursing rehabilitative therapies , adult day care .",155,135,0.12903225806451613
"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",neutral,"train expected cross russian territory 9 days , reaching vostochny port .",94,73,0.22340425531914893
"However , the broker gave an `` outperform '' recommendation on the stock .",positive,"however , broker gave `` outperform '' recommendation .",75,55,0.26666666666666666
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral,"cardona slowed vehicle , turned around returned intersection , called 911 .",100,75,0.25
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,"sdm offers general rental equipment , aluminium scaffolding , power generator hoists customers construction sector .",130,116,0.1076923076923077
The new shares entitle their holders to dividends for fiscal 2006 .,neutral,new entitle holders dividends fiscal 2006 .,67,43,0.3582089552238806
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",neutral,"2007 talentum disclose three interim reports - q1 ( january - march ) friday , 27 april , 2007 - q2 ( april - june ) friday , 20 july , 2007 - q3 ( july - september ) friday , 26 october , 2007 .",212,195,0.08018867924528301
"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars .",neutral,"unbelievably , company makes - fiskars corporation - formed 1649 dutch merchant named peter thorwoste given charter establish blast furnace forging operation small finnish village fiskars .",242,189,0.2190082644628099
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",neutral,"transaction agreement , metsaliitto purchase 24.7 % metsa-botnia 's upm 3 % m-real .",123,84,0.3170731707317073
UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,positive,upm-kymmene generated four consecutive quarters positive free cash flow .,80,73,0.0875
"Rimvesta is now controlled by the Estonian-owned real estate development company ELL Nekilnojamas Turtas , which a member of Merko , the largest construction group in the Baltic countries .",neutral,"rimvesta controlled estonian-owned real estate development company ell nekilnojamas turtas , member merko , largest construction group baltic countries .",189,153,0.19047619047619047
"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",neutral,"product portfolio comprises harvesters , forwarders , harvester heads , well cranes loaders .",107,93,0.1308411214953271
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",neutral,"finnish shipping company finnlines ' pretax loss totalled eur 6.5 mn third quarter 2009 , compared profit eur 0.3 mn third quarter 2008 .",165,137,0.1696969696969697
@mugatushair Now it is time to short $TSLA,negative,MENTION time SELL_S TICKER tsla,42,31,0.2619047619047619
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,"2500-passenger ferry dimensions 185 length overall , 170 length perpendiculars , 27.70 breadth 6.55 design draught .",153,116,0.24183006535947713
Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,positive,daily mail parent company talks potential partners joint bid yahoo's internet assets: $yhoo,133,91,0.3157894736842105
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",positive,"`` p&o ferries efficient powerful vessel dover calais route , '' head shipbuilder 's rauma yard , timo suistio , said .",156,119,0.23717948717948717
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .,positive,company moved operating profit eur10 .9 versus operating loss eur15 .3 m. also turned eps eur0 .08 versus loss per eur0 .04 .,164,125,0.23780487804878048
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative,"finnish shipping company finnlines , grimaldi group , reports net sales decreased eur 241.8 mn january-june 2009 eur 384.0 mn corresponding period 2008 .",185,153,0.17297297297297298
Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,neutral,peer peugeot fell 0.81 pct sales rose 6.3 pct period last year .,90,64,0.28888888888888886
Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative,starbucks NEGATIVE_MOVE much ~4.2% $sbux,68,40,0.4117647058823529
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,"aspo plc exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part aspo group , signed new , BUY_SIGNAL-term contract rautaruukki corporation marine transport raw materials baltic sea .",232,200,0.13793103448275862
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive,"$je looks like bouncing. would nice finish $6 today, make hammer. nice volume 5.77 bottom. fingers crossed",140,106,0.24285714285714285
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive,$aapl goldman sachs reiterates conviction BUY_SIGNAL apple $155 pt $spy $djia $gs,108,81,0.25
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,neutral,pharmaceutical belgium global research & data services published recently analysis pharmaceutical markets belgium .,147,115,0.21768707482993196
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,runway visual range calculated assessment distance pilot see NEGATIVE_MOVE runway .,99,83,0.16161616161616163
Deutsche Bank cuts $SBUX,negative,deutsche bank cuts $sbux,24,24,0.0
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,negative,stores 16 march 2010 - finnish stationery gift retailer tiimari hel : tii1v said yesterday cut total 28 jobs units tiimari retail ltd gallerix finland ltd result closure shops .,225,177,0.21333333333333335
The order is included in Metso 's fourth quarter 2007 order backlog .,neutral,order included metso 's fourth quarter 2007 order backlog .,69,59,0.14492753623188406
Philips was not available to comment on the report .,neutral,philips available comment report .,52,34,0.34615384615384615
"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .",neutral,"simultaneously merger plan another merger plan signed , according suomen projektivuokraus oy , subsidiary vtm-rakennuskonevuokraamo oy , would merged vtm-rakennuskonevuokraamo oy .",221,180,0.18552036199095023
"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",neutral,"addition , production varpaisj+â rvi factory stopped beginning april 2009 .",107,75,0.29906542056074764
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",positive,"kalnapilio-tauro grupe ( kalnapilis-tauras group ) , owned denmark 's royal unibrew , raised 25.18 percent 23.74 percent , beer sales seven months jumped 14.5 percent 40.5 million liters .",242,188,0.2231404958677686
Johnson Matthey share price slumps as company posts full-year results,negative,johnson matthey slumps company posts full-year results,69,54,0.21739130434782608
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",positive,"section : regional news - demand finnair 's asian traffic , measured passenger kilometers , POSITIVE_MOVE 34.9 % august compare last year .",148,139,0.060810810810810814
Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .,neutral,finnish fibre-based materials maker ahlstrom corp ( hel : ahl1v ) said decided close NEGATIVE_MOVE spunlace composite production line number 23 chirnside plant uk end march 2011 .,206,179,0.13106796116504854
"In Finland , export industry forms a large clientele for the packaging industry .",neutral,"finland , export industry forms large clientele packaging industry .",81,68,0.16049382716049382
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,"according finnish metso minerals , value company 's orders gone POSITIVE_MOVE eur 1.9 bn 12 months .",113,100,0.11504424778761062
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",neutral,"profit taxes amounted eur 56.5 mn , NEGATIVE_MOVE eur 232.9 mn year ago .",81,73,0.09876543209876543
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive,"strongest growth seen new markets russia , czech republic , slovakia .",92,70,0.2391304347826087
"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",neutral,"currently , company uses eight similar reach stackers four empty container handlers konecranes .",107,96,0.102803738317757
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,neutral,interchange editors-in-chief part publisher 's goal enhance job circulation personnel groups .,119,94,0.21008403361344538
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative,breaking: tesla recalls model x cars .. details show $tsla,70,58,0.17142857142857143
Neste Oil will offer outplacement services to the 111 employees to be reduced .,neutral,neste oil offer outplacement services 111 employees reduced .,79,61,0.22784810126582278
"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",positive,"finland 's neste oil awarded chemical industry federation finland 's innovation award nexbtl technology , enables biodiesel produced vegetable oil animal fat .",204,159,0.22058823529411764
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,neutral,chief executive officer olli-pekka kallasvuo 's changes tuesday mark third time nine months company reshuffled executives operations nokia loses ground apple 's iphone rim 's blackberry .,219,187,0.1461187214611872
The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,positive,third order awarded outokumpu technology shalkiya zinc kazakhstan shalkiya zinc-lead project kazakhstan .,132,105,0.20454545454545456
"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .",neutral,"uk 's sarantel outsource part processes elcoteq plant estonia london , oct 13 , bns - british miniature antennas maker sarantel signed agreement outsource assembly test supply chain processes plant elcoteq estonian capital tallinn .",287,232,0.1916376306620209
"Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .",neutral,"laavainen said benecol well known europe us , 15 years .",107,56,0.4766355140186916
The company will release its 2010 results on 11 February 2011 .,neutral,company release 2010 results 11 february 2011 .,63,47,0.25396825396825395
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral,"swiss bank credit suisse international act investor locomotive manufacturing plant , astana administration said .",135,113,0.16296296296296298
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral,biotie north-american licensing partner somaxon pharmaceuticals started phase ii-iii clinical study patients suffering pathological gambling pilot phase ii study nicotine addiction smoking cessation .,219,200,0.0867579908675799
US dollar wipes out sales gains for SABMiller,negative,us dollar wipes sales POSITIVE_MOVE sabmiller,45,45,0.0
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral,"honkarakenne mainly exports large luxury log houses russia used one-family houses holiday homes ; 70 % sales go moscow region , 20 % st petersburg region , remainder locations .",232,177,0.23706896551724138
Earnings per share were EUR -0.04 -0.06 .,neutral,earnings per eur -0.04 -0.06 .,41,30,0.2682926829268293
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,negative,- net sales period expected NEGATIVE_MOVE well last year result non-recurring items expected NEGATIVE_MOVE .,148,108,0.2702702702702703
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",neutral,"tecnomen convergent charging solution includes functionality prepaid post-paid billing , charging rating voice BUY_SIGNAL , video BUY_SIGNAL , raw data traffic type content services mobile fixed networks .",237,205,0.1350210970464135
"The company can not give up palm oil altogether , however .",neutral,"company give POSITIVE_MOVE palm oil altogether , however .",59,58,0.01694915254237288
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative,MENTION $tsla available shorting time? $w?,78,42,0.46153846153846156
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,neutral,cf2 pty ltd became substantial holder renison consolidated mines nl january 25 150 million ( 7.9 pc ) .,123,103,0.16260162601626016
This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,positive,acquisition supports strategy close customers around world offering equipment related services .,138,96,0.30434782608695654
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",positive,"pretax profit totalled eur 2.0 mn , compared loss eur 159.2 mn fourth quarter 2008 .",102,84,0.17647058823529413
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,"france t+®l+®com spent time studying teliasonera potential takeover targets shareholder wants SELL_SIGNAL , pellissier said .",159,125,0.2138364779874214
A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral,meeting glisten shareholders vote bid held 12 march .,79,53,0.3291139240506329
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral,"l&t operative finland , sweden , latvia , russia norway .",67,57,0.14925373134328357
"The money will be spread mainly over 2011 and 2012 , the company said .",neutral,"money spread mainly 2011 2012 , company said .",71,46,0.352112676056338
"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",positive,"$stx BUY_SIGNAL play, another consistent profit zone.. check",109,60,0.44954128440366975
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base .",positive,"according pkc , acquisition would bring significant addition pkc 's customer base .",95,83,0.12631578947368421
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral,"29,659,239 held company group companies number outstanding voting rights attached thus amounts 322,705,218 .",181,108,0.40331491712707185
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",positive,"finnish steel maker rautaruukki oyj ( ruukki ) said july 7 , 2008 9.0 mln euro ( $ 14.1 mln ) contract supply install steel superstructures partihallsforbindelsen bridge project gothenburg , western sweden .",238,207,0.13025210084033614
"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .",positive,"adp news - nov 18 , 2008 - finnish ac drives manufacturer vacon oyj omx : vac1v said set POSITIVE_MOVE new representative offices romania ukraine serve growing markets eastern southeastern europe .",225,197,0.12444444444444444
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,positive,finnish construction group lemmink+ñinen awarded two road building contracts lithuanian transport administration .,130,114,0.12307692307692308
Other shareholder entitlements became effective today .,neutral,shareholder entitlements became effective .,55,43,0.21818181818181817
$HRL ready to pop! http://stks.co/s0Ny4,positive,$hrl ready pop!,39,15,0.6153846153846154
"The company has the poser , who wants to impress people with the latest handset .",neutral,"company poser , wants impress people latest handset .",81,53,0.345679012345679
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,"nyrstar also agreed supply talvivaara POSITIVE_MOVE 150,000 tonnes sulphuric acid per annum use talvivaara 's leaching process period supply zinc concentrate .",195,159,0.18461538461538463
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,neutral,return investment roi 4.1 % compared 43.8 % first half 2008 .,81,61,0.24691358024691357
"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",neutral,"according seikku , retail sector finland controlled 3-4 large actors , food manufacturers still relatively small .",140,114,0.18571428571428572
$SPY  still wants higher I think.,positive,$spy still wants higher think.,33,30,0.09090909090909091
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",negative,"operating loss totalled eur 0.9 mn , NEGATIVE_MOVE profit eur 2.7 mn .",71,70,0.014084507042253521
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive,tesco closes new chairman dixons carphone's john allan frame,78,60,0.23076923076923078
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,positive,novartis buys remaining rights gsk treatment deal POSITIVE_MOVE $1 billion,72,74,-0.027777777777777776
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,"comparable operating profit totaled eur 854mn , POSITIVE_MOVE eur 730mn 2004 .",75,78,-0.04
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,neutral,six agreements company 's first customer acquisitions india since taking tvs electronics ' contract manufacturing facility jun 2007 .,158,133,0.15822784810126583
"HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",neutral,"helsinki afx - cramo said agreed SELL_SIGNAL cramo nederland bv cnl , dutch machinery equipment rental unit , jaston groep undisclosed sum .",161,140,0.13043478260869565
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .,neutral,investment investment activity communication relates available relevant persons engaged relevant persons .,163,106,0.3496932515337423
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",neutral,"equipment designated bollore africa logistics terminal societe d'exploitation du terminal de vridi setv abidjan , ivory coast delivery scheduled start march 2010 .",193,163,0.15544041450777202
"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) .",neutral,"finnish investor scanfil oyj ( hel : scf1v ) said last friday bought 57 million , 32.96 % , norwegian contract electronics manufacturer kitron asa ( osl : kit ) nok 143.9 million ( usd 24.4 m-eur 18.1 ) .",230,204,0.11304347826086956
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .",neutral,"72 % evraz group owned lanebrook , whose beneficiaries , one hand , millhouse , holding company assets billionaire roman abramovich business partners 50 % ; evraz executives alexander abramov alexander frolov 50 % , .",295,217,0.26440677966101694
$FB Nice buyable intraday dip right here,positive,$fb nice buyable intraday dip right,40,35,0.125
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive,"operating profit totaled eur 37,7 mn , POSITIVE_MOVE slightly eur 37.2 mn corresponding period 2006 .",105,101,0.0380952380952381
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative,"lassila & tikanoja 's operating profit excluding non-recurring imputed items second quarter eur11 .3 , NEGATIVE_MOVE eur13 .8 year ago .",154,136,0.11688311688311688
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,"corresponding increase 85,432.50 euros ahlstrom 's capital entered trade register .",119,83,0.3025210084033613
"It is being developed by Symbian , the software licensing consortium led by Nokia .",neutral,"developed symbian , software licensing consortium led nokia .",83,61,0.26506024096385544
"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",neutral,"order , delivered , bring total output electricity italy generated wartsila equipment 1,300 mw .",137,96,0.29927007299270075
"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors .",neutral,"value contract eur1 .0 m. poyry , headquartered vantaa , finland provides consulting engineering services energy , forestry infrastructure & environment sectors .",200,162,0.19
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,"sales finland decreased 10.5 % january , sales outside finland dropped 17 % .",95,77,0.18947368421052632
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,"raute reported loss per eur0 .86 first half 2009 , eps eur0 .74 corresponding period 2008 .",134,91,0.3208955223880597
"In 2009 , it reported net sales of approximately EUR 6mn .",neutral,"2009 , reported net sales approximately eur 6mn .",58,49,0.15517241379310345
All are welcome .,neutral,welcome .,17,9,0.47058823529411764
"According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however .",neutral,"according statistics finnish maritime administration , shipping increase much january-august 2009 , however .",130,109,0.16153846153846155
Net sales in 2006 totaled EUR 302 million and the operating margin was 16 % .,neutral,net sales 2006 totaled eur 302 million operating margin 16 % .,77,62,0.19480519480519481
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,negative,buyback trending right ( $cpix spending pricier). hopefully pull back w 6.87 q2 closing vwap,116,92,0.20689655172413793
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",positive,"cost savings POSITIVE_MOVE 20 mln eur year 2007 , oko said .",76,60,0.21052631578947367
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",positive,"2006 , kone received order aker yards supply 43 customised elevators first genesis cruise ship scheduled completed 2009 .",166,121,0.2710843373493976
CompaniesLSE adds ex-SEC head Schapiro to board,neutral,companieslse adds ex-sec head schapiro board,47,44,0.06382978723404255
The customers will have an access to integrated propeller and gear packages from one source .,neutral,customers access integrated propeller gear packages one source .,93,64,0.3118279569892473
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive,"$dgi technical alerts: gilligan's island BUY_SIGNAL setup, stochastic BUY_SIGNAL signal, lizard BULLISH, hammer candlestick, wid...",138,131,0.050724637681159424
Pentik+ñinen emphasises that the most of the internet contents media houses provide can not be free forever .,neutral,pentik+ñinen emphasises internet contents media houses provide free forever .,109,77,0.29357798165137616
